,h,t,r,type,newEntities,pair_c
6658,Q753297,Q173253,is in,KG,,default
6659,Q17737,Q42240,is in,KG,,default
6660,Q42240,Q2777905,is in,KG,,default
6661,rise,1970s of psychoanalytic ideological semiotic,is in,Open_KG,head_tail_,default
6662,Q2248623,Q3914,is in,KG,,default
6663,Q571,Q12912091,is in,KG,,default
6664,Q6939465,Q5040238,Prominent cognitivists,KG,,default
6665,Q6939465,Q5040238,cognitivists,KG,,default
6666,Q40056,Q3541171,funded by,KG,,default
6667,Q1190056,Q289,series on,KG,,default
6668,Q735,Q4964182,is with,KG,,default
6669,Q571,Q1358138,In,KG,,default
6670,Q335046,moviegoers,is in,Open_KG,tail_,default
6671,Q15524911,Q5220732,is with,KG,,default
6672,Q178651,Q1701027,is with,KG,,default
6673,Q20899,Q178651,is with,KG,,default
6674,Q2914681,Q38926,preponderance to,KG,,default
6675,shallowness,Q2914681,lack of,Open_KG,head_,default
6676,Q1071233,Q2065951,is In,KG,,default
6677,Q2914681,Q173799,preponderance of,KG,,default
6678,Good,Q813449,Beautiful to,Open_KG,head_,default
6679,Q813449,Q2300560,inclusion of,KG,,default
6680,Q289,marginalized,became,Open_KG,tail_,default
6681,Q53858110,Q11410,stations,KG,,default
6682,Q854995,Q1900653,reinforce,KG,,default
6683,Q1900653,Q40276,promoting,KG,,default
6684,emotional involvement,Q211198,is with,Open_KG,head_,default
6685,Q6501338,Q211198,establishing,KG,,default
6686,Q385378,Q1071233,is in,KG,,default
6687,Q1271479,something entirely new,has discovered,Open_KG,tail_,default
6688,Q1271479,Q289,has discovered,KG,,default
6689,Q1271479,Q289,something entirely new for,KG,,default
6690,Q789815,Q3549320,broadcast,KG,,default
6691,Q789815,Q3549320,broadcast,KG,,default
6692,Fall,Q289,Such personalisation of,Open_KG,head_,default
6693,Q7301013,Q1773921,contemplates,KG,,default
6694,Q5,Q1773921,contemplates,KG,,default
6695,Q53858110,Q289,seen daily on,KG,,default
6696,spread,Q5,were,Open_KG,head_,default
6697,Q169286,Q5003490,president of,KG,,default
6698,second,emotional gifting,is,Open_KG,head_tail_,default
6699,you,it,do use,Open_KG,head_tail_,default
6700,Q746628,Q7366,makes,KG,,default
6701,us,Q16885149,new era of,Open_KG,head_,default
6702,us,Q282250,multiply across,Open_KG,head_,default
6703,Q34508,Q133492,carrying,KG,,default
6704,We,Q847301,had,Open_KG,head_,default
6705,Q223642,Q146,is with,KG,,default
6706,Q34508,Q491774,is with,KG,,default
6707,Q719602,Q194112,is with,KG,,default
6708,Q34508,Q75,users of,KG,,default
6709,his,StereoVision,company,Open_KG,head_tail_,default
6710,his,cinematographer,company,Open_KG,head_tail_,default
6711,Q562167,Q98,is in,KG,,default
6712,Q4,2010,is in,Open_KG,tail_,default
6713,Q58778,Q190686,replaced,KG,,default
6714,Q18119757,Q679679,was inspired by,KG,,default
6715,they,Magnavision,formed,Open_KG,head_tail_,default
6716,his lenses,used,were,Open_KG,head_tail_,default
6717,Q177053,Q2083222,has,KG,,default
6718,Q5206399,based providing,is,Open_KG,tail_,default
6719,Q5206399,Q17305889,was,KG,,default
6720,Q312,Q169534,launch,KG,,default
6721,Q312,Q169534,launch,KG,,default
6722,Q5206399,Q34467,producing,KG,,default
6723,Q5206399,Q34467,producing,KG,,default
6724,Q760170,Q180472,is in,KG,,default
6725,Q5206399,Q177634,being major,KG,,default
6726,Q5206399,Q34508,trained Apple development executives on,KG,,default
6727,Q5206399,Q484583,presenting,KG,,default
6728,Q5206399,Q9587,presenting,KG,,default
6729,Q3796889,Q7247812,one of,KG,,default
6730,Q656720,Q515,been,KG,,default
6731,Q515,Q6256,is in,KG,,default
6732,Q312,Q33767,’s,KG,,default
6733,Q504703,Q309,is in,KG,,default
6734,Q265158,Q265158,is in,KG,,default
6735,Q10290214,Q11424,is in,KG,,default
6736,Q11019,Q5290,project images onto,KG,,default
6737,Q7180636,Q23556,is in,KG,,default
6738,their,Q79782,Phantoscope,Open_KG,head_,default
6739,Q23556,Q79782,in Phantoscope is,KG,,default
6740,Q654810,Q753601,is sometimes considered,KG,,default
6741,Q280006,Q90,is in,KG,,default
6742,Q3955369,Q106526,is in,KG,,default
6743,Q8743,subject,history of,Open_KG,tail_,default
6744,his,Q229836,sister,Open_KG,head_,default
6745,Kinetophonograph,Q30,is in,Open_KG,head_,default
6746,Q1337772,Q377549,founded by,KG,,default
6747,Q3131349,Q174789,debuts,KG,,default
6748,his,Q6760764,wife,Open_KG,head_,default
6749,Q2151113,his,by wife is,Open_KG,tail_,default
6750,Q59101449,Q6460735,has,KG,,default
6751,Q8441,Q1111,is in,KG,,default
6752,Q1470243,Q1111,man in,KG,,default
6753,Q381243,Q41253,is in,KG,,default
6754,Q34433,Q456,is in,KG,,default
6755,Q157443,May ever made,May,Open_KG,tail_,default
6756,Q56153087,Q498805,is In,KG,,default
6757,Q325767,Q7737,actor of,KG,,default
6758,Rowling,Q39809,despite,Open_KG,head_,default
6759,Pottermania,informal used,is,Open_KG,head_tail_,default
6760,Q1481481,Q11193,is with,KG,,default
6761,Q215408,Q571,is in,KG,,default
6762,Q1350108,Q3409,mostly devoted to,KG,,default
6763,Q32635,lost,was,Open_KG,tail_,default
6764,Q5576820,Q982791,has,KG,,default
6765,Q35127,Q32635,has,KG,,default
6766,Q35127,Q38926,featuring,KG,,default
6767,Q38926,Q16502,is in,KG,,default
6768,Q871232,Q35127,among MuggleNet is,KG,,default
6769,I,Q2893347,paid homage to,Open_KG,head_,default
6770,Q4281830,Q38926,is with,KG,,default
6771,Rowling,Q625642,In,Open_KG,head_,default
6772,I,Q1051534,am huge,Open_KG,head_,default
6773,Q35127,2006,is In,Open_KG,tail_,default
6774,Q16201339,Q119,received award In,KG,,default
6775,Q9219,Q571,fought in,KG,,default
6776,Q712548,Q9219,has,KG,,default
6777,Q103184,Q43297,is in,KG,,default
6778,Rowling,Q207988,sign up,Open_KG,head_,default
6779,their,Q35127,webmasters of,Open_KG,head_,default
6780,Q31924,Q6498398,is with,KG,,default
6781,They,Q278368,also host,Open_KG,head_,default
6782,latest discussion,Q773944,is in,Open_KG,head_,default
6783,Q719395,Q18389443,is in,KG,,default
6784,R.A.B.,Q11424,Goblet of,Open_KG,head_,default
6785,MuggleCast,Q5666742,is,Open_KG,head_,default
6786,it,Q1051534,Produced by,Open_KG,head_,default
6787,Q178651,Q5,is with,KG,,default
6788,Q979511,Q11424,director of,KG,,default
6789,Q178651,Q979511,is with,KG,,default
6790,they,Q47354316,call,Open_KG,head_,default
6791,Q5666742,Q17125263,podcast by,KG,,default
6792,Philosopher,Q8253,has,Open_KG,head_,default
6793,Q32483,Q571,is in,KG,,default
6794,Q10290214,Q16502,is in,KG,,default
6795,Q35127,Q461524,devoted solely to,KG,,default
6796,Q35127,Q461524,devoted solely to,KG,,default
6797,Q80336,Q278368,created by,KG,,default
6798,Q103184,Q164746,is in,KG,,default
6799,Q208417,Q461524,was,KG,,default
6800,Q233046,Q216601,such authors is,KG,,default
6801,Q6988302,Q2608849,attorney for,KG,,default
6802,Q12988589,Q3409,is with,KG,,default
6803,Q5666742,Q179641,is with,KG,,default
6804,Q434745,FictionAlley.org,moderator of,Open_KG,tail_,default
6805,Rowling,Q178651,is in,Open_KG,head_,default
6806,DumbledoreIsNotDead.com,Q10290214,understand,Open_KG,head_,default
6807,Q10290214,Q17641254,is in,KG,,default
6808,Q1340800,Q6498398,anthology of,KG,,default
6809,Q2525174,Q19829024,is in,KG,,default
6810,Q2893347,Q177634,including,KG,,default
6811,Q742804,Q475018,has,KG,,default
6812,Q31708,Q1139344,story of,KG,,default
6813,Q1329910,Q25235,is in,KG,,default
6814,Q174009,Q5398426,is,KG,,default
6815,Q2657932,Q3352745,is,KG,,default
6816,Q5185942,Q3352745,is,KG,,default
6817,Q2657932,Q65,moved to,KG,,default
6818,Q2657932,Q173998,broken up with,KG,,default
6819,Q26262599,2007,Rising is at_time,Open_KG,tail_,default
6820,Q271697,Q215380,Paul of,KG,,default
6821,Q26262599,SugarQuill.net,owner of,Open_KG,tail_,default
6822,Q931483,2007,Prophecy is at_time,Open_KG,tail_,default
6823,Q271697,Q931483,founder of,KG,,default
6824,Q6812622,Q1051534,webmaster of,KG,,default
6825,Q4068293,Q1051534,Editor of,KG,,default
6826,Q1051534,2007,Prophecy is at_time,Open_KG,tail_,default
6827,Q6812622,Q6498398,cast of,KG,,default
6828,Q718,Q11424,showing of,KG,,default
6829,Q53858110,Q7401,have become,KG,,default
6830,Q53858110,Q131569,fairly large part of,KG,,default
6831,LitDays,full,are,Open_KG,head_tail_,default
6832,Q189,Q49233,is in,KG,,default
6833,Q368263,Q64067920,author of,KG,,default
6834,Q64596218,Q131569,has,KG,,default
6835,Q181716,Q921950,author of,KG,,default
6836,Q5438142,Q28173261,is in,KG,,default
6837,Q1777129,Q189,inside,KG,,default
6838,Q12335479,Q797,Looking for,KG,,default
6839,Q635155,Q2095,by talks is,KG,,default
6840,Q1569885,Q56278697,has,KG,,default
6841,Q1569885,Q1537,'s Festival is,KG,,default
6842,Q173998,Q216896,sister 's,KG,,default
6843,Q216896,Q191808,has,KG,,default
6844,Q173998,both,friend of,Open_KG,tail_,default
6845,Q515895,Q10940,is with,KG,,default
6846,them,repeated,were,Open_KG,head_tail_,default
6847,them,at least three different occasions,were repeated on,Open_KG,head_tail_,default
6848,Q571,Q24238946,has,KG,,default
6849,Q178651,Rowling,is with,Open_KG,tail_,default
6850,Q6498398,her readership,members of,Open_KG,tail_,default
6851,Q6498398,Q379825,were still valued,KG,,default
6852,Q1190554,Q60745925,resulted in,KG,,default
6853,Q60745925,Q103184,merit,KG,,default
6854,Q103184,Q139103,is in,KG,,default
6855,Rowling,Q622645,has,Open_KG,head_,default
6856,I,Q16502,'m relative,Open_KG,head_,default
6857,I,Q8337,look up,Open_KG,head_,default
6858,it,extraordinary,was,Open_KG,head_tail_,default
6859,I,Q877558,met,Open_KG,head_,default
6860,it,Q387834,was,Open_KG,head_,default
6861,Q154365,me,was seething beneath,Open_KG,tail_,default
6862,everyone,it,see,Open_KG,head_tail_,default
6863,You,delusional,were,Open_KG,head_tail_,default
6864,Q178651,Q41298,is with,KG,,default
6865,Q5666742,Q316,has,KG,,default
6866,Q5666742,Q7566,has,KG,,default
6867,his,Q9410,being,Open_KG,head_,default
6868,Roleplaying,Q773944,is central,Open_KG,head_,default
6869,Q206883,Q500834,included,KG,,default
6870,Q174097,allows,is based,Open_KG,tail_,default
6871,Q4479242,extracurriculars,engage in,Open_KG,tail_,default
6872,Q32483,Q43115,is in,KG,,default
6873,Q174097,allows,is roleplaying,Open_KG,tail_,default
6874,Q174097,Q160738,of World is,KG,,default
6875,Q16502,Q106827,game in,KG,,default
6876,Q160738,Q106827,is in,KG,,default
6877,Q25214304,Q48282,interact with,KG,,default
6878,Q25214304,Q82818,lose,KG,,default
6879,Q25214304,Q27318,sit for,KG,,default
6880,Q25214304,Q379833,attend,KG,,default
6881,Q25214304,Q305561,play,KG,,default
6882,Q25214304,Q379833,attend,KG,,default
6883,visit Hogsmeade,Q192581,get,Open_KG,head_,default
6884,Q25214304,Q20502,lose points for,KG,,default
6885,Q1213747,Q5470012,is interactive,KG,,default
6886,Q41207,Q14745,purchase,KG,,default
6887,Q41207,Q14745,purchase,KG,,default
6888,Q17606382,able,are,Open_KG,tail_,default
6889,Q17031418,Q1455863,is with,KG,,default
6890,Q1213747,Q668,is graphical,KG,,default
6891,Q1213747,Q668,is Social,KG,,default
6892,Q17031418,Q6498398,is designed for,KG,,default
6893,they,Q4636310,interacting in,Open_KG,head_,default
6894,You,Q1139104,even download,Open_KG,head_,default
6895,You,Q212198,mingle at,Open_KG,head_,default
6896,You,Q11410,play,Open_KG,head_,default
6897,You,Q1139104,even download,Open_KG,head_,default
6898,You,Q3660943,relax in,Open_KG,head_,default
6899,You,Q11410,play,Open_KG,head_,default
6900,Q177634,Q16502,inspired to,KG,,default
6901,Q166142,Q80091,is great,KG,,default
6902,Q1213747,long,been,Open_KG,tail_,default
6903,Q2562640,Q75,behind,KG,,default
6904,Q141488,Q1051534,is with,KG,,default
6905,Q813911,Q5087467,Chamber of,KG,,default
6906,Q1369832,Q216107,is in,KG,,default
6907,features,However more prevalent,are,Open_KG,head_tail_,default
6908,Q4686367,Q11410,is in,KG,,default
6909,Q5276395,Q11410,is in,KG,,default
6910,Roleplaying,Q183252,also occurs in,Open_KG,head_,default
6911,Roleplaying,Q183252,occurs in,Open_KG,head_,default
6912,Q3141,Q355406,has,KG,,default
6913,Q65,Show,has,Open_KG,tail_,default
6914,Q2221906,Q145,is in,KG,,default
6915,Q36484,Q1350108,is with,KG,,default
6916,Q1758439,Q458,is in,KG,,default
6917,Q36484,Q1350108,is with,KG,,default
6918,They,Q1573906,offer,Open_KG,head_,default
6919,Philosopher,Q483042,has,Open_KG,head_,default
6920,Q868580,Q23436,is in,KG,,default
6921,Q1067803,Q34433,is in,KG,,default
6922,Q82794,Q848909,is in,KG,,default
6923,it,Q215380,expanded to,Open_KG,head_,default
6924,Q638,Q654810,is,KG,,default
6925,Q638,Q3296134,sometimes shorthanded as,KG,,default
6926,Q32483,Q571,is in,KG,,default
6927,Q215380,Q1129398,have also performed at,KG,,default
6928,Q169165,Q42139305,is,KG,,default
6929,We,Q169165,Are,Open_KG,head_,default
6930,We,Q169165,Are,Open_KG,head_,default
6931,Q26615,Q6812622,film,KG,,default
6932,Q169165,Q220505,then traveled to,KG,,default
6933,Q786279,Gone W!ld,has,Open_KG,tail_,default
6934,Q786279,Gone W!ld,has,Open_KG,tail_,default
6935,Q11424,Q7075,screened in,KG,,default
6936,Q81741,Q180494,is Spanish,KG,,default
6937,Q196600,Q7741996,has,KG,,default
6938,Q321839,Q194112,is with,KG,,default
6939,Q702269,Q9418,is in,KG,,default
6940,Q170198,Q16556,Order of,KG,,default
6941,Q571,Q170198,is in,KG,,default
6942,Q656287,2003,is In,Open_KG,tail_,default
6943,Q7569,Q193078,is with,KG,,default
6944,he,Q6254080,headache.Researchers at,Open_KG,head_,default
6945,Q759676,Q185451,is with,KG,,default
6946,Q617395,2003,A. at_time,Open_KG,tail_,default
6947,Q109061,Q284115,analysis of,KG,,default
6948,Q1785854,Q7754,to Guide is,KG,,default
6949,Q11424,Q11424,decade of,KG,,default
6950,1970s,Q11424,is in,Open_KG,head_,default
6951,Q41253,early 1970s,beginning in,Open_KG,tail_,default
6952,Q170924,Q3705105,is in,KG,,default
6953,its,Q16397,icon,Open_KG,head_,default
6954,Q170924,Q11417,is in,KG,,default
6955,Q11424,Q170924,sparked,KG,,default
6956,Q11417,Q313498,is in,KG,,default
6957,Q184630,Q5398426,is in,KG,,default
6958,Q29251,Q838514,'s Shadow is,KG,,default
6959,Q1130125,Q48927761,is in,KG,,default
6960,Q36970,Q1148444,Enter,KG,,default
6961,Q1156,Q11424,is with,KG,,default
6962,Q1156,1970s,is in,Open_KG,tail_,default
6963,Q945895,Q169489,is in,KG,,default
6964,Q40924,Q702492,is in,KG,,default
6965,Q1139344,Q40924,is in,KG,,default
6966,Q11424,1973,is in,Open_KG,tail_,default
6967,Q189756,Q198,German films after,KG,,default
6968,Q39911,Q1395034,is in,KG,,default
6969,Q11424,Q2882042,is with,KG,,default
6970,Q746628,Q50040,is in,KG,,default
6971,Q55163,Q494244,has,KG,,default
6972,Q877435,1970,is in,Open_KG,tail_,default
6973,Q11424,Q309,is in,KG,,default
6974,Q729991,Q41263,is with,KG,,default
6975,Taking,Q3,bold reflection of,Open_KG,head_,default
6976,Q739330,Q577,is in,KG,,default
6977,Q2532754,Q30,is in,KG,,default
6978,Q4019680,Q30,is in,KG,,default
6979,Q11424,Q30,wide release in,KG,,default
6980,Q214339,1969,is in,Open_KG,tail_,default
6981,Q205599,1969,role in,Open_KG,tail_,default
6982,Q2484680,Q1071233,is in,KG,,default
6983,Q483921,1974,is in,Open_KG,tail_,default
6984,Q1758439,Q1487484,is with,KG,,default
6985,Q844,Q7602472,gap since,KG,,default
6986,Q618532,Q72652,is with,KG,,default
6987,start,1962,is in,Open_KG,head_tail_,default
6988,Q13427002,Q35014,is in,KG,,default
6989,Q11424,Q11707054,was,KG,,default
6990,Q11424,critical,was,Open_KG,tail_,default
6991,Q846544,which,many of,Open_KG,tail_,default
6992,Q846544,Q422321,many following,KG,,default
6993,Q523,Q534406,is in,KG,,default
6994,Q3196,Q11303,is in,KG,,default
6995,Q159347,Q41871,Towering Inferno,KG,,default
6996,Q7944,Q65,is in,KG,,default
6997,Q3839081,less exciting,had become,Open_KG,tail_,default
6998,Q140318,1979,is in,Open_KG,tail_,default
6999,Q51582,Q220735,has,KG,,default
7000,Q51559,Q657079,has,KG,,default
7001,Q2001,Q181086,has,KG,,default
7002,Q50000,Q713493,is with,KG,,default
7003,Q50000,1970s,is in,Open_KG,tail_,default
7004,Q487919,Q667992,has,KG,,default
7005,Q261636,1970s,is in,Open_KG,tail_,default
7006,Q3975,1972,is in,Open_KG,tail_,default
7007,It,Q19020,won,Open_KG,head_,default
7008,its,Q14441,star,Open_KG,head_,default
7009,Q496098,Q36949,Oscars for,KG,,default
7010,Q310819,Q483247,like Movie is,KG,,default
7011,Q885812,Q11424,phenomenon of,KG,,default
7012,Q5603,Q483247,'s Movie is,KG,,default
7013,Q637200,Q11424,based Bentley is,KG,,default
7014,Q343888,Q11424,has,KG,,default
7015,attaining,Q11424,due Bentley is,Open_KG,head_,default
7016,Q3153130,Q2945420,brought by,KG,,default
7017,Q47221,Q1208425,earned,KG,,default
7018,Q41148,Q47221,has,KG,,default
7019,Q47221,Q1208425,earned,KG,,default
7020,Lumet,Q572165,has,Open_KG,head_,default
7021,Q12819497,Q186529,Network,KG,,default
7022,Q11424,Q294454,won Oscars for,KG,,default
7023,Q496098,Q572165,to Thanks is,KG,,default
7024,Q4780984,Q836298,is in,KG,,default
7025,Q853630,Q1426891,is with,KG,,default
7026,1978,Q251868,has,Open_KG,head_,default
7027,Q450728,Q55606902,has,KG,,default
7028,Q505119,1975,was born in,Open_KG,tail_,default
7029,Q274167,Q11424,was among,KG,,default
7030,Q28136257,Q11424,given blockbuster distinction among,KG,,default
7031,1975,Q189505,has,Open_KG,head_,default
7032,Q8877,Q41263,has,KG,,default
7033,Q5192356,Nest,Over,Open_KG,tail_,default
7034,Q189505,1978,is in,Open_KG,tail_,default
7035,It,Q189505,spawned,Open_KG,head_,default
7036,Q261636,1978,Jaws in,Open_KG,tail_,default
7037,Q739330,Q130838,practice at_time,KG,,default
7038,Q11424,Q11635,was,KG,,default
7039,Q216810,Q334600,did mark,KG,,default
7040,Q11424,Q8317,has,KG,,default
7041,Q8317,Q4671334,won,KG,,default
7042,it,Q2165644,was deemed,Open_KG,head_,default
7043,it,Q2628882,receive,Open_KG,head_,default
7044,Q50000,Q8317,is in,KG,,default
7045,Q5290,Q169452,is in,KG,,default
7046,It,Q1208425,was,Open_KG,head_,default
7047,Q50000,1977,is in,Open_KG,tail_,default
7048,Q315808,Q5583277,including,KG,,default
7049,Q233464,Q245068,story about,KG,,default
7050,1978,Q5694585,has,Open_KG,head_,default
7051,Q315808,Q1306726,'s Girl is,KG,,default
7052,Q40831,Q2478434,is in,KG,,default
7053,Q1306758,Q188459,is with,KG,,default
7054,Q56094,Q42040,has,KG,,default
7055,Q59129,Deer Now,has,Open_KG,tail_,default
7056,Q554774,Q16575965,caused by,KG,,default
7057,Q42213,Deer,is in,Open_KG,tail_,default
7058,Q42040,Q1156895,earned,KG,,default
7059,Q358370,Q7928606,portrayed life for,KG,,default
7060,Q358370,Coming Home,has,Open_KG,tail_,default
7061,Q358370,Q3,portrayed,KG,,default
7062,Q167520,Q4671334,won,KG,,default
7063,Q214339,Q11424,is in,KG,,default
7064,1979,Q647599,saw,Open_KG,head_,default
7065,Q1313,Q276453,is with,KG,,default
7066,Q358370,Q53094,has,KG,,default
7067,Q1518589,Q1913135,film based,KG,,default
7068,Q11424,1970s,is in,Open_KG,tail_,default
7069,Q39911,Q188451,is most known for,KG,,default
7070,Q7704509,Q47703,including,KG,,default
7071,Q55163,Q494244,has,KG,,default
7072,Q1357284,Q409022,is with,KG,,default
7073,Q409022,1970,is in,Open_KG,tail_,default
7074,Q8877,Q189505,'s hit is,KG,,default
7075,Q48103,Q11424,is in,KG,,default
7076,1970s,Q289,is in,Open_KG,head_,default
7077,1970s,Q349,is in,Open_KG,head_,default
7078,Q56474015,Q11424,History of,KG,,default
7079,1970s,Q349,1970s in,Open_KG,head_,default
7080,1970s,Q638,is in,Open_KG,head_,default
7081,Q103184,written published,is,Open_KG,tail_,default
7082,Q38926,Q5190563,can include,KG,,default
7083,Q125191,Q2751586,debates on,KG,,default
7084,It,Q179875,can contain,Open_KG,head_,default
7085,Q3445082,Q6501338,has,KG,,default
7086,Q188572,Q11028,writer,KG,,default
7087,Q3445082,Q103184,reading,KG,,default
7088,Q3445082,Q361698,phrases like,KG,,default
7089,Q103184,where continued,is,Open_KG,tail_,default
7090,Q2992075,Q103184,is important,KG,,default
7091,Q156389,Q1318295,is in,KG,,default
7092,Q1224389,Q2249676,immediacy of,KG,,default
7093,Q2992075,Q10675206,is,KG,,default
7094,Q1313396,Q2751586,relates well to,KG,,default
7095,they,to cover,choose,Open_KG,head_tail_,default
7096,Q1313396,Q234460,is standard,KG,,default
7097,subheads,Q38926,are also occasionally found In,Open_KG,head_,default
7098,subheads,Q38926,are,Open_KG,head_,default
7099,Q103184,Q125191,also have,KG,,default
7100,Q37105,Q1260632,attract reader to,KG,,default
7101,lead,Q833734,sets,Open_KG,head_,default
7102,Q6966210,the following,one of,Open_KG,tail_,default
7103,Q103184,Q5470012,will follow,KG,,default
7104,it,Q1318295,create,Open_KG,head_,default
7105,Q3445082,Q6501338,has,KG,,default
7106,Q1071233,brief,is,Open_KG,tail_,default
7107,Q2992075,brief,is,Open_KG,tail_,default
7108,Q28389,Q3962655,has,KG,,default
7109,Q1260632,shirttail,goal of,Open_KG,tail_,default
7110,Q103184,defined,is,Open_KG,tail_,default
7111,Q28389,Q103184,write,KG,,default
7112,Q1433373,Q5380819,are written like,KG,,default
7113,Q5380819,Q737498,is in,KG,,default
7114,Q5292,Q103184,in article is,KG,,default
7115,Q13433827,Q5292,is in,KG,,default
7116,Q103184,Q1260632,is primary,KG,,default
7117,Q1260632,Q27948,is,KG,,default
7118,Q3966,Q218273,successor to,KG,,default
7119,It,Q142,was,Open_KG,head_,default
7120,It,Q142,was,Open_KG,head_,default
7121,Q4103820,1879,introduced Praxinoscope Théâtre in,Open_KG,tail_,default
7122,Q3391846,Q1309670,is with,KG,,default
7123,Q36161,Q3975,was,KG,,default
7124,Q35197,Q31920,intended for,KG,,default
7125,Q36161,Q214981,appeared in,KG,,default
7126,Q287,Q156005,is with,KG,,default
7127,Q53858110,Q33767,is with,KG,,default
7128,Q58778,Q33767,show with,KG,,default
7129,it,Q1357284,was,Open_KG,head_,default
7130,Q1501341,Q783794,was copied by,KG,,default
7131,Q7569,Q178588,has,KG,,default
7132,Q14866672,Q35221,was,KG,,default
7133,Q838149,Q3268495,was sided,KG,,default
7134,Q838149,Q3268495,was praxinoscopic,KG,,default
7135,Q35221,Q3268495,is with,KG,,default
7136,Q17145175,Q38,is in,KG,,default
7137,Q192218,Q142,is in,KG,,default
7138,Q11394,Q5113,is in,KG,,default
7139,Q42213,Q1037,is in,KG,,default
7140,Q42213,Q737878,is with,KG,,default
7141,Q36611,Q695209,is in,KG,,default
7142,Q1035,Q168377,has,KG,,default
7143,Q11424,Q1156854,investigates,KG,,default
7144,Q193637,Q309,business of,KG,,default
7145,practitioners,Q190109,is in,Open_KG,head_,default
7146,Q173799,Q190109,is in,KG,,default
7147,Q177634,Q4175034,screenings for,KG,,default
7148,Q184148,Q190109,is in,KG,,default
7149,Q51795719,Q21482672,contemporary 's,KG,,default
7150,Q173799,Q2383321,is with,KG,,default
7151,Q190109,Q10870555,over overview is,KG,,default
7152,it,Q6497253,features,Open_KG,head_,default
7153,Q166142,Q12912091,is in,KG,,default
7154,Q10870555,Q16928008,titled,KG,,default
7155,its,participants,pioneers,Open_KG,head_tail_,default
7156,Q43229,Q6055890,Media due,KG,,default
7157,Q6055890,Q173799,is in,KG,,default
7158,Q174710,Q681708,has,KG,,default
7159,handful,Q844837,University 's,Open_KG,head_,default
7160,Q131841,Q710924,is with,KG,,default
7161,Q19820021,Q4572,has,KG,,default
7162,Q170584,Q190109,is in,KG,,default
7163,Q127060,Q212357,During,KG,,default
7164,Q8148,established,is central,Open_KG,tail_,default
7165,Q34006,Q11424,undisputed capital of,KG,,default
7166,Q34581,Q946745,Actor of,KG,,default
7167,Q2654149,Q2995644,entered film scene As,KG,,default
7168,Q1188651,Q2068118,avoid,KG,,default
7169,Q2068118,Q854022,is with,KG,,default
7170,Q7056740,Q1297,is in,KG,,default
7171,Q11424,Q16502,is in,KG,,default
7172,firm,Q7056740,Located on,Open_KG,head_,default
7173,Q11424,Q484298,be projected onto,KG,,default
7174,Q174165,Q386724,end up with,KG,,default
7175,Q11424,Q5290,came from,KG,,default
7176,Q484772,Q11424,has,KG,,default
7177,Q49614,Q150502,became,KG,,default
7178,his involvement,Q172980,is with,Open_KG,head_,default
7179,Q28050177,Q813911,establish,KG,,default
7180,Q7937,Q1297,is in,KG,,default
7181,Q5119,Q39911,is in,KG,,default
7182,He,$,paid,Open_KG,head_tail_,default
7183,He,1915,was hired in,Open_KG,head_tail_,default
7184,Q153292,Essanay,actor for,Open_KG,tail_,default
7185,him,Q2266306,natural sidekick to,Open_KG,head_,default
7186,Q556967,Q739302,has,KG,,default
7187,rise,early 1900s,is in,Open_KG,head_tail_,default
7188,Q7924308,Q35473,watch film reel through,KG,,default
7189,Q746801,Q11422,dismissed invention as,KG,,default
7190,Q11424,Q211198,be shown to,KG,,default
7191,Q746801,Q42213,has,KG,,default
7192,Q1368540,Q1297,is in,KG,,default
7193,Q253623,Q174165,connected with,KG,,default
7194,Q86447,Q50851,Concurrent formation of,KG,,default
7195,Q1894881,Q8222382,was,KG,,default
7196,Q3066226,Q30,is in,KG,,default
7197,Q124964,Q854022,established,KG,,default
7198,Q3924718,Q11424,restricted,KG,,default
7199,Q3066226,Q7901733,pay Edison Company royalties for,KG,,default
7200,Q6016500,Q854022,were formed almost immediately outside,KG,,default
7201,Q24648753,Q1297,president of,KG,,default
7202,MPPC,Q625303,combine of,Open_KG,head_,default
7203,MPPC,Q172336,has,Open_KG,head_,default
7204,Q11193,Q86447,is in,KG,,default
7205,Q871403,Q11193,is with,KG,,default
7206,Q53944,Q988108,manager of,KG,,default
7207,firm,Q871403,has,Open_KG,head_,default
7208,Q783794,Q854022,is in,KG,,default
7209,Q11424,Q167253,is with,KG,,default
7210,Q515,Q30,is in,KG,,default
7211,public,Q474187,has,Open_KG,head_,default
7212,Q11635,Q123705,created,KG,,default
7213,Q7760585,Q1415395,is in,KG,,default
7214,Q79782,Q79782,revolutionized,KG,,default
7215,It,Q15861362,allowed,Open_KG,head_,default
7216,Q1297,Q11424,quickly became,KG,,default
7217,Q11424,Q11175,is with,KG,,default
7218,Q11175,early 1900s,is in,Open_KG,tail_,default
7219,Q11424,Q30,is in,KG,,default
7220,Q210064,Q15328,is with,KG,,default
7221,Q11424,Q6428674,were valued differently in,KG,,default
7222,Q11424,Q309314,are,KG,,default
7223,Q40276,Q746628,is with,KG,,default
7224,Q3798390,Q202805,decline for,KG,,default
7225,Q5276395,Q8148,is in,KG,,default
7226,Q2654149,Q783794,circumvent payment to,KG,,default
7227,Q783794,Q1894881,avoid,KG,,default
7228,Q1606712,1920s,is in,Open_KG,tail_,default
7229,Q11635,1919 1952,of chain is,Open_KG,tail_,default
7230,Q32518,Q1368,is in,KG,,default
