,subject,relation,object
4505,advances,is in,affordable filmmaking equipment
4506,world,has,oldest national film industry
4507,Hollywood,is,world 's oldest national film industry
4508,China largest box office territory,overtaking North America in,gross total
4509,China,has,successful containment approach
4510,United States,country in,North American market
4511,predominant country,is in,North American market
4512,largest national film industry,is in,"terms of number of films produced with 1,813 feature films produced annually as 2018"
4513,Indian cinema,is with,3.5 billion tickets sold followed by Hollywood with 2.6 billion tickets sold
4514,national film industries,is with,highest annual ticket sales worldwide
4515,countries,is with,largest number of film productions
4516,Italy,is In,Europe
4517,largest film industry,is in,terms of revenue
4518,oldest film industry,is in,world
4519,primary nexus,is with,established film study facilities such American Film Institute established in area
4520,successful movies,is in,world
4521,films,is in,world
4522,Sony Pictures Entertainment,is,while headquartered
4523,its,company,Sony Corporation
4524,Most shooting,now takes,place
4525,Most shooting,now takes place in,New York
4526,Hollywood,'s ceremony is,Academy Awards
4527,Hollywood,has,award ceremony
4528,Motion Picture Arts,of Academy is,AMPAS
4529,Hollywood,has,first permanent film studio
4530,Nestor Film Company,established,Hollywood 's first permanent film studio
4531,California weather,allowed for,year round filming
4532,careers,is in,other countries such Luc Besson
4533,Francis Veber,is in,United States
4534,cinemas,is in,world
4535,Paris,highest density of,cinemas in world
4536,Paris,measured by,number of movie theaters per inhabitant
4537,first digital cinema projection,is in,Europe
4538,first digital cinema projection,is with,DLP CINEMA technology developed by Texas Instruments
4539,first digital cinema projection,is in,Paris
4540,Cité du cinéma,north of,city
4541,35.5 %,is in,2015
4542,"44,5 %",% in,2015
4543,35.3 %,is in,2016
4544,"44,5 %",is in,2014
4545,admissions,of % is,35.5 % in 2015
4546,international box office,is with,40 million admissions down 52 % from 2017
4547,Italy,being,with top foreign market
4548,film industry,being,with centered on Shanghai in first decades
4549,largest film studio,is in,world
4550,domestic film industry,was centered on,Shanghai
4551,largest city,is in,Far East
4552,many subsequent films,projects with,international backers
4553,projects,is with,international backers
4554,subsequent films,projects with,international backers
4555,Jia,has,Platform 2000
4556,Jia 's Platform 2000,was funded,while shot on HD video
4557,Takeshi Kitano,by,production house
4558,his Life,was,while shot on HD video
4559,It,was acted mostly by,non-professionals
4560,It,was acted by,non-professionals
4561,second market,is in,world
4562,gross box office,is in,China
4563,China,has,gross box office
4564,China,major hub of,business
4565,China,has,gross box office was
4566,second film market,is in,world
4567,first country,achieved,status
4568,world,as,biggest box office
4569,status,being,first country
4570,second oldest film industry,is in,world
4571,films,is in,world
4572,important cities,is in,global film industry
4573,figure,includes,"1,288 feature films"
4574,Besides,being largest producer of,films in world
4575,films,is in,world
4576,countries,is with,large numbers of expatriate Indians
4577,films,is in,its neighboring countries of South Asia
4578,largest film,is in,India
4579,to Bollywood,blend of,Bombay
4580,Filmmakers,associated with,parallel cinema
4581,Parallel films,fight,sequences
4582,films,fight,sequences
4583,languages,are,where spoken
4584,several smaller centres,is in,regional languages
4585,largest film studio complex,is in,world
4586,it,Comprising,47 stages
4587,India,has,annual film output
4588,it,Comprising,47 sound stages
4589,directors,is with,Emeric Pressburger
4590,films,is with,largest ever box office returns
4591,first moving pictures,developed on,celluloid film
4592,Part 2,Lord of,Rings
4593,Dead Man,has,Chest 2005
4594,Alice,is in,Wonderland
4595,Alice,is in,Wonderland
4596,Sword,is in,Stone
4597,A. A. Milne,on,characters
4598,Walt Disney,after,death in 1967
4599,Walt Disney 's death,is in,1967
4600,great special effects,is in,films such Superman
4601,It,competes with,pay television film network Sky Cinema
4602,It,broadcasts from,11:00 am BST
4603,Dark Knight 2008,is with,new techniques involved in Gravity taking
4604,based visual effects company,is with,Tim Webber
4605,Tim Webber,with company is,Framestore
4606,it,has recognized,achievements
4607,it,has universally recognized,achievements
4608,them,make,films
4609,Polish productions,be more inspired by,American film
4610,Polish productions,tend,to more inspired by American film
4611,finance,being,with key to film made
4612,Polish Film School,was under,heavy influence of Italian neorealists
4613,liberal changes,is in,Poland
4614,their role,is in,post-war Poland
4615,group,speak more openly of,recent history of Poland
4616,first artistic movements,is in,Central Europe
4617,largest film industry,is in,terms of overall revenues generated
4618,largest film industry,is in,2009
4619,largest film industry,is in,terms of output
4620,colonial era,is in,early 20th century
4621,Censorship,obstacle to,freedom of expression
4622,Egyptian film,intended for,popular audiences
4623,unwritten contract,is with,spectator
4624,Egypt,has,cinema
4625,Popular films,comedies such,Lie
4626,cinema industries,is in,Iran
4627,best exporters,is in,1990s
4628,Iranian art films,now enjoy,global following.Along with China
4629,global following.Along,is with,China
4630,world 's important national cinema,is with,significance
4631,world,as,most important national cinema artistically with significance
4632,world,of,most important artistic cinemas
4633,oldest film industries,is in,world
4634,greatest foreign language film,is in,BBC 's 2018 poll of 209 critics
4635,Akira Kurosawa,'s Samurai is,1954
4636,Akira Kurosawa,has,Seven Samurai
4637,BBC,in,2018 poll of 209 critics in 43 countries
4638,2012 Sight,',poll of Top 50 Greatest Films of Time dethroning
4639,209 critics,is in,43 countries
4640,Rashomon,Gate of,Hell
4641,has mercy,is with,As aspects of Korean life during past century
4642,North Korean films,portray,their communist
4643,imported films,is in,theatres
4644,Korean films,must,In theaters must played for 73 days per year since 2006
4645,25 % domestic film quota,will,On cable TV will reduced after KOR US FTA
4646,25 % domestic film quota,will,On cable TV will reduced to 20 % after KOR US FTA
4647,"113,000,000 admissions",% of,total admissions
4648,third motion picture industry,is in,world
4649,it,second largest exporter of,films
4650,Hong Kong,has,return to Chinese sovereignty
4651,It,been,commercial concentrating
4652,heart,is developed,features
4653,Turkish films,is in,Europe
4654,Turkish films,of dependence is,feature
4655,domestic market,on dependence is,feature
4656,Winter,has,Sleep
4657,up to EUR 1 billion,is in,France
4658,Europe,as,eight largest box office market ahead of Sweden
4659,Cinema going,is cheap in,Turkey
4660,Cinema going,is comparatively cheap in,Turkey
4661,average EUR 4.0,is in,Turkey
4662,Pakistan,to,film industry
4663,industry,to,growth
4664,Haq,laws upon,based ultra-conservative jurisprudence
4665,cinema,is in,Pakistan
4666,sudden collapse,is in,1980s
4667,sudden collapse,cinema in,Pakistan
4668,boom,is in,Karachi
4669,gave,rise to,bigger privately owned media houses
4670,boom,is in,Television Industry
4671,biggest production center,is in,Pakistan
4672,Girl,is in,River
4673,Khuda Kay Liye,is In,name of God
4674,name,In Liye is,Bol
4675,Teefa,is in,Trouble
4676,industry,been significant,1970s
4677,industry,has,often has significant film industry since early 1970s
4678,first film release,is in,Bangladesh
4679,first produced film,is in,region
4680,Matir Moina,film by,Tarek Masud
4681,Indonesia biggest film studios,is in,Southeast Asia
4682,10 hectares,is in,Nongsa
4683,Frameworks,is,based closed
4684,consortium,is with,90 percent of it
4685,cinemas,access to,many foreign films including Oscar winning films
4686,substantial increase,is in,value
4687,tax,applied to,foreign films
4688,cinemas,had,access to many foreign films including Oscar winning films
4689,cinemas,no longer had,access to many foreign films including Oscar winning films
4690,cinemas,access to,foreign films including Oscar winning films
4691,country,on,economy
4692,Tobago,has,sector
4693,screenplay,was written by,Freddie Kissoon
4694,rise,is in,Trinidadian film production
4695,rise,is in,2000s
4696,Nepali films,is in,English
4697,It,is,often referred
4698,Kollywood,refer to,Tamil cinema
4699,Kollywood,is,however more frequently used
4700,Kollywood,however is more frequently used,to refer to Tamil cinema
4701,first projection,is with,Cinematograph
4702,Lumière,first projection with,Cinematograph
4703,French film industry,is in,late 19th century
4704,cinématographe,Auguste,their L'Arrivée d'un train
4705,Kelly Gang,account of,notorious gang led by Ned Kelly
4706,D.W. Griffith,with,Birth of Nation
4707,film industry,had fully emerged with,D.W. Griffith 's Birth of Nation
4708,illumination,best source of was,natural sunlight
4709,Hollywood first movie studio,is in,Hollywood area
4710,Other East Coast studios,had already moved,production
4711,Other East Coast studios,had already moved production to,Los Angeles
4712,colloquially,refer to,entire American film industry
4713,studio facilities,is in,Hollywood
4714,association,is with,Jesse Lasky
4715,It,is now location of,Hollywood Heritage Museum
4716,Charlie Chaplin Studios,were built in,1917
4717,Herb Alpert,by,A&M Records
4718,It,has,has also owned by Herb Alpert 's A&M Records
4719,Jim Henson Company,home of,Muppets
4720,new housing development,is in,hills above Hollywood
4721,It,is,registered
4722,Hindi language film industry,is in,based Mumbai formerly known as Bombay
4723,term,refer to,whole of Indian cinema
4724,other production centres producing films,is in,multiple languages
4725,Bollywood,is formally referred to,to Hindi cinema
4726,Bollywood,is,formally referred
4727,largest centres,is in,world.Bollywood
4728,producer,is in,India
4729,modern Bollywood films,elements of,Hinglish.The Wrestlers
4730,first colour film,is in,Hindi
4731,India,Following,independence
4732,film,might,might only one large component of many large contributions to total franchise revenue
4733,Virtual production techniques,cut dramatically,costs
4734,Virtual production techniques,cut,costs
4735,largest box office markets,is in,terms of gross box office revenue
4736,largest box office markets,is in,terms of number of tickets sold annually
4737,Development Corporation Ltd Firoze Rangoonwalla,is In,Retrospect
4738,Retrospect,In Rangoonwalla is,Hamlyn Publishing Group Limited
4739,It,is made in,New York
4740,It,is,made
4741,film,being,critical
4742,New York Times,is with,BBC noting
4743,Fisher,Following,departure from show
4744,House,was independent,years
4745,venue 's closing,is in,June 2013
4746,Bad Movies,screenings at,92YTribeca in New York City
4747,venue,until,closing in June 2013
4748,92YTribeca,is in,New York City
4749,Alamo Drafthouse Cinema,is in,Yonkers
4750,actor,has,career filmography
4751,director,has,comedy filmography
4752,director 's comedy filmography,is list of,comedy films directed by particular director
4753,bibliography,list of,books
4754,Hollywood,has,stereotypes of librarians
4755,responsibilities,include promoting film production in,U.S. state of Georgia
4756,cult film,also commonly referred as,cult classic
4757,cult,was in,though common use in film analysis for decades prior to that
4758,cult,was in,though common use in film analysis
4759,though common use,is in,film analysis
4760,Others,have inspired,their own film festivals
4761,Others,have inspired,their film festivals
4762,Cult films,form,their subcultures
4763,Cult films,form,their own subcultures
4764,Films,be,profitable
4765,cult films,use term as,marketing tactic
4766,purists,state,it
4767,they,are,occasionally before released
4768,Films,be instant cult classic now,occasionally before released
4769,they,are,occasionally released
4770,Films,be,classic
4771,Films,be,instant
4772,term,be applied to,wide variety of films
4773,specifically,become,cult films
4774,Cult films,are defined by,audience reaction
4775,Cult films,are defined by,audience reaction as much as by their content
4776,films,is in,their own terms
4777,Shiel,being,reliant
4778,different groups,can interpret,films
4779,different groups,films in,their own terms
4780,Shiel,being,weak
4781,different groups,can interpret,films in their own terms
4782,Several people,explicitly requiring,transgressive element
4783,them,mainstream films with,transgressive elements
4784,them mainstream films,is with,transgressive elements
4785,Jeffrey Andrew Weinstock,instead called,them mainstream films with transgressive elements
4786,them,films with,transgressive elements
4787,neither,is,prioritized
4788,audiences,be split in,Defining Cult Movies
4789,films,become,especially if transgressive
4790,it,is,especially if transgressive
4791,it,is,especially transgressive
4792,times,produce,more interesting films
4793,cult films,be,more creative
4794,more interesting films,times of,relative political instability
4795,General overview Cult films,have existed since,early days of cinema
4796,Nosferatu,was unauthorized,Dracula
4797,Bram Stoker,of,Dracula
4798,Stoker 's widow,drove,it
4799,Stoker,has,widow
4800,Academic Chuck Kleinhans,identifies Marx Brothers as,making other early cult films
4801,American exploitation films,were,During time marketed similarly
4802,European art films,push,boundaries of simple definitions
4803,decades,is in,film analysis
4804,decades,is with,positive connotations
4805,cult,had in,though had use
4806,midnight movies,rise of,home video
4807,films,word of,mouth
4808,they,were seen as,turning cult films mainstream
4809,I,make,box office hits
4810,Max,was,international
4811,international hit,is in,except America ignored by critics for years only in dubbed version
4812,cult favorite,is in,America
4813,academic Chi Yun Shin,criticizes as,reductive
4814,perplexed reactions,is in,their native country
4815,Jackson,has,career trajectory
4816,New Zealand,of,national identity
4817,its own cult,Creatures at_time,1994
4818,Jackson,such,Lord of Rings trilogy.Mathijs
4819,its own cult,Heavenly Creatures at_time,1994
4820,Heavenly Creatures 1994,became,part of New Zealand 's national identity
4821,They,may also watch idiosyncratically,films
4822,non-linear narratives,ambiguous establishments of,time
4823,Valentine,on,Day
4824,Mathijs,also identifies,specific cult film viewing habits
4825,fans,gorge,themselves
4826,cult films,broadcast on,Christmas
4827,films,shared nostalgia to,viewers
4828,films,give,sense of community
4829,New films trouble,making inroads against,institutions It
4830,society 's taboos,testing,one 's fears
4831,society,has,taboos
4832,one,has,fears
4833,Halloween horror conventions,aspect.Despite,their nature
4834,Halloween horror conventions,aspect.Despite,their oppositional nature
4835,cult films,can produce,celebrities
4836,authenticity,is,Like cult films themselves important aspect of their popularity
4837,authenticity,is important,popularity
4838,they,strongly associated with,such iconic roles
4839,her transgressive roles,is in,cult films
4840,Mary Woronov,known for,her transgressive roles cult films
4841,She,recreate,transgressive elements of her cult films within confines of mainstream cinema
4842,she,was,if even mentioned
4843,she,was,if mentioned
4844,her daring roles,is in,transgressive films
4845,Cult films,can trap,directors
4846,Cult films,can also trap,directors
4847,he,find,financing for any of his other screenplays
4848,he,find,financing
4849,he,was,unable
4850,Alejandro Jodorowsky,languish in,obscurity
4851,filmmaker Nick Zedd,later wrote,manifesto
4852,Popular,is in,midnight showings
4853,academic Joan Hawkins,label,them
4854,Home video,would finally allow,general audiences
4855,general audiences,see,them
4856,their transgressive edge,films based,cult properties
4857,talking,against taboos is,critical reception
4858,films,during taboos is,critical reception
4859,film,to,perception as cult
4860,their own relevance,Taking stances on,varied issues
4861,Perceived racist,raise,profile of cult films
4862,would Rex Reed 's comments,is in,his review of Oldboy 2003
4863,I,Spit On,1978
4864,Critics,can also polarize,audiences
4865,Your,Grave,1978
4866,Fans,will occasionally express,frustration
4867,transgressive elements,can,Exploitative can pushed to excessive extremes
4868,censorship,Henenlotter,ridicule
4869,Kaufman,has,films
4870,Kaufman 's films,have attracted,positive attention
4871,unpopular genre,is in,modern France
4872,Director Jean Rollin,worked within,unpopular genre in modern France
4873,cinéma fantastique,genre in,modern France
4874,Pedro Almodóvar,has,anti-macho iconoclasm
4875,director 's appeal,is in,one country
4876,director,has,appeal in one country
4877,it,was,real snuff film
4878,it,was,real
4879,film,has,distribution
4880,director Ruggero Deodato,opposed to,censorship
4881,they,seen,truly uncensored cut
4882,Cult films,been,banned
4883,Cult films,have,have falsely claimed
4884,their transgressive reputation,explain,their lack of mainstream penetration
4885,their transgressive reputation,explain,their lack
4886,Marketing campaigns,have also used,such claims
4887,such claims,raise,interest
4888,such claims,raise,interest among curious audiences
4889,cult film fans,import,films
4890,fans,assumed,to already familiar with controversy
4891,strong anti-censorship message,may,may present
4892,director,has,original vision
4893,Islamic spirituality,is in,Indonesian cult films.Academics
4894,transgressive themes,is in,cult films
4895,female terms,are,while used
4896,female terms,describe,mainstream
4897,celebration,is in,cult films
4898,female terms,describe,conformist cinema
4899,cult films,are,despite their potential for empowerment of marginalized more often used by politically incorrect males
4900,Jacinda Read,has,expansion
4901,tool,reinforce mainstream values through,transgressive content
4902,cultural hierarchies,be,also reaffirmed
4903,male gaze,subverts,traditional goal oriented methods
4904,Wishman,has,subject matter
4905,films,were complicated,progressive
4906,issues,is in,culture
4907,one,is,authentic
4908,media,strengthen bonds with,specific subcultures
4909,media,strengthen,bonds
4910,they,have,long after have forgotten by original audiences
4911,fans,deny,genre categorization
4912,Authenticity,may also drive,fans
4913,Authenticity,is in,performance
4914,Authenticity,can drive,fan acclaim
4915,mainstream,is in,form of hostile critics
4916,venue,choice of be,can important part of expressing individuality
4917,choice,be important,individuality
4918,enthusiastic programmers,part of,expressing individuality
4919,it,has,unusual significance
4920,film,object of,cult
4921,Norman Wisdom,has,films friendly to Marxist interpretation
4922,they,allowed by,country 's Communist rulers
4923,they,were among,as few Western films allowed by country 's Communist rulers
4924,it,is viewed,culture
4925,its,star,Judy Garland
4926,although viewed film,is in,greater American culture
4927,films,target,subcultures like this
4928,films,subcultures like,this
4929,these,are,Although big budget
4930,Lord,each with,their own fandom separate from mainstream
4931,it,has developed,nostalgic cult following over years
4932,it,nostalgic cult following,following years
4933,they,mimic,traditional cult films
4934,cult film fans,philosophical subtexts such,Matrix
4935,Star Wars,is with,its large cult following in geek subculture
4936,that,bolster,their arguments
4937,repeat viewings,fans of,cult blockbusters
4938,film series,reduce,mainstream accessibility
4939,critics,fans of,cult blockbusters
4940,film,with,reputation
4941,film,has,fandom
4942,fans,enter,film 's fandom
4943,they,are,If majority
4944,Organized fandoms,become,popular
4945,Fandom,can,can also used as process of legitimation
4946,Fans,is in,as media fandom
4947,offending mainstream audiences,is with,misogyny
4948,Obsessive trivia,can,can used to bore mainstream audiences
4949,Obsessive trivia,building up,subcultural capital
4950,trivia,building up,subcultural capital
4951,partner,is with,hardcore pornographic sites
4952,Previous articles,can,can also alluded to without explanation
4953,Previous articles,can,can also alluded
4954,they,lack,enough information to meaningfully contribute
4955,they,enough information to,meaningfully contribute
4956,they,information to,meaningfully contribute
4957,they,may,When may ridiculed
4958,Irony,can,can used
4959,Irony,can,can also used
4960,Outer Space,from Plan is,Room 2003
4961,Plan 9,Room is at_time,2003
4962,Paul Verhoeven,has,Showgirls 1995
4963,Paul Verhoeven 's Showgirls 1995,developed,cult following on video
4964,film,on,ironic appeal
4965,audiences,misinterpret,parody
4966,it,has,good
4967,subculture,is with,dedicated websites such Nanarland
4968,people,have,such diverse options
4969,fans,difficult,to count
4970,film,of,cast
4971,film,has,faults
4972,Cult film stars,known for,their camp
4973,nostalgia,is strong,kinds
4974,Hollywood,is in,extremis
4975,Emma Pett,interprets as,fondness for retro aesthetics
4976,factors,is in,its popularity among midnight movie crowds
4977,political conservatism,is in,America
4978,films,rather bleak point of,view
4979,resurgence,desire for,community
4980,studios,expressed,skepticism
4981,Modern midnight movies,strongly diverging from,mainstream films shown at midnight
4982,Modern midnight movies,retain,their popularity
4983,Mainstream cinemas,abandoning,midnight screenings
4984,odds,is with,other
4985,fringes,is with,taboo subjects
4986,this,is,key
4987,Meyer,to,ability to create
4988,him,received as,auteur worthy of academic study
4989,Doris Wishman,has,exploitation films
4990,audiences,films,marketing
4991,genre,is important,films
4992,fans,non-mainstream and less commercial aspects of,it
4993,Malta,for,burgeoning film industry
4994,films,are realistic,industry
4995,cult B films,are realistic goal for,Malta 's burgeoning film industry
4996,horror films,are,likely
4997,them,become,cult favorites
4998,authentic martial arts skills,is in,Hong Kong action films
4999,horror films,become to,cult films
5000,Ad Week,writes,that
5001,home video,on market is,themselves
5002,Animation Animation,can provide,wide open vistas
5003,series,is with,movies rising from existing series
5004,it,encouraged,cult tendencies
5005,Ghost,is in,Shell films
5006,Japanese fans,Ghost in,Shell films
5007,Ralph Bakshi,has,career
5008,older animators,desired,edgier work
5009,animators,desired,edgier work
5010,his work,would,Eventually would reassessed
5011,licensing issues,being,released on video for years
5012,licensing issues,being,released on video for many years
5013,They,cover,similar subject matter
5014,They,cover,similar matter
5015,They,are usually modeled after,sick films
5016,outlandish claims,made about,perceived social threats drug use
5017,lack,is in,critics
5018,Cine,Excess,film festival
5019,it,be,cultist now
5020,definitions,mainstream availability of,Jeffrey Sconce
5021,sign,newspaper of,Holy See
5022,his popularity,of sign is,has courted controversy for its endorsement
5023,his popularity,of sign is,official newspaper
5024,sign,controversy for,its endorsement of cult films
5025,cities,renovate,neighborhoods
5026,attempts,demolish,iconic settings
5027,1970s,Attack of,Killer Tomatoes
5028,Rocky Horror,has,popularity
5029,Rocky Horror 's popularity,invalidates,its cult status
5030,Danny Peary,'s Movies is,1981
5031,Danny Peary,has,Cult Movies
5032,drive,is in,theater
5033,Film critic Joe Bob Briggs,reviewing,drive films
5034,cult directors,received at,mainstream film festivals
5035,greatest success,is in,turning cult films mainstream
5036,world,has,most influential director.As
5037,Tarantino,has,clout
5038,they,are,too easily found online
5039,they,lack,context
5040,they,are,too easily found
5041,traditional fanzines,Virtual spaces,newsletters
5042,collecting,can take,place of fetishization of single film
5043,small scale screenings,is with,friends
5044,small scale screenings,replace,midnight showings
5045,their,blockbusters,Steven Spielberg
5046,social media,rise of been,has boon to cult films
5047,traditional venues,Sites such,Twitter
5048,director producer Roger Corman,viral made distribution deal with,YouTube
5049,slick exercises,is in,dysfunction
5050,previous films,attracted,cult followings
5051,previous films,effortlessly attracted,cult followings
5052,Tobias,trying,too hard
5053,Tobias,criticizes,Coscarelli
5054,film,has,release
5055,film,on,production
5056,fan speculation,impact on,film 's production
5057,it,was,before released
5058,it,was,released
5059,it,However became,influential
5060,phrase,is,oxymoron.Cult films
5061,director,has,creative vision
5062,director 's creative vision,drives,film
5063,favor,is in,academia
5064,auteur theory,create,cult films
5065,Auteur theory,carrying,weight of scholarship
5066,transgressive aspects,highlighted,while ignored
5067,subversive aspects,are,while ignored
5068,Mark Kermode,has,Secrets of Cinema
5069,Australia,has,national museum of film
5070,ACMI,attendance of,gallery in Australia
5071,visited moving image museum,is in,world
5072,ACMI,begin,$ 40 million redevelopment
5073,History Beginnings,is in,State Film Centre
5074,new medium,is in,Australia
5075,Our,Selection,1920
5076,Tim Burstall,by Homesdale is,State Film Centre Education Program
5077,1971,Homesdale at_time,State Film Centre Education Program
5078,Peter Weir,by Homesdale is,State Film Centre Education Program
5079,Fred Schepisi.In 1988,by Homesdale is,State Film Centre Education Program
5080,Lab Architecture Studio,is in,association with their joint venture partners
5081,association,is with,their joint venture partners
5082,association,in Studio is,Bates Smart architects
5083,Square,was new,mark
5084,Square,was civic,mark
5085,Square,be civic,mark
5086,Australia,of,Centenary of Federation.On
5087,Square,be new,mark
5088,ACMI,in,Screen Gallery
5089,Katharine Hepburn,is in,Aviator
5090,free exhibition space,museum about,moving pictures
5091,Story,is,free constructed
5092,space,is with,12 viewing booths
5093,partnership,is with,National Film
5094,its merger,is with,Film Victoria
5095,its merger,is in,1997
5096,John J. Smithies,formed,Cinemedia
5097,John J. Smithies,formed Cinemedia until,its merger with Film Victoria in 1997
5098,Deputy Director,is with,prime responsibility for developing
5099,appointed director,is in,2005
5100,Museum,has,Imaging Frontiers masterplan re-development
5101,Museum,'s re-development is,generated record visitor numbers
5102,its kind,is in,world
5103,his family,is in,Britain.Katrina Sedgwick
5104,It,is subterranean gallery for,experimentation with moving image
5105,experimentation,is with,moving image
5106,It,is subterranean,experimentation
5107,exception,With exhibitions is,Gallery 1
5108,Gallery 1 exhibitions,is With,exception of dance work
5109,Gallery,is flexible,Gallery
5110,Gallery,is smaller,Gallery
5111,Gallery 2,is smaller more flexible gallery than,Gallery 1
5112,extensive projection facilities,is in,southern hemisphere
5113,THX certified sound systems,allow to,acoustics
5114,Cinema 2,seats,390
5115,Cinema,seats,390
5116,Contemporary Australian filmmaking,is with,archival classics
5117,Highlights,have included,seasons
5118,Ozploitation,Genres,Melancholy Misfits
5119,conjunction,is with,Tim Burton exhibition
5120,ACMI,In,Studios
5121,technology,produce,their own moving image work
5122,Participants,develop,skills
5123,Worlds,was,evolving exploring
5124,Worlds,was,permanent exploring
5125,Screen Worlds,closed on,April 22 2019
5126,Screen Worlds,allow for,redevelopment
5127,Garden,was,outdoor
5128,Random Encounters,Exhibitions,Blast Off
5129,participants,is in,ACMI hands on production workshops
5130,content,is in,Memory Grid
5131,Mediatheque,was multiple,access
5132,multiple screen station,is with,access to works from ACMI
5133,Admission,was,free
5134,Australian Mediatheque,closed permanently in,September 2017
5135,primary school students,is with,love of filmmaking
5136,Screen,is yearly,students
5137,It,Screen,It
5138,next year,has,theme
5139,ACMI,transformation into,brand new global museum
5140,2019,after,event
5141,Games Lab,was,Games Lab ACMI 's display area for interactive video games
5142,Melbourne,has,Beam Software
5143,Australia,of,place in rise of video game
5144,Australia 's place,is in,rise of video game
5145,15 Second Place,sites,Generator
5146,Shaun Tan,has,Lost Thing From Book To Film Pictures
5147,ACMI,has,first original exhibition in Melbourne Winter Masterpieces series
5148,ACMI 's first original exhibition,is in,Melbourne Winter Masterpieces series
5149,ACMI,'s exhibition is,Game Masters
5150,Oscar Wilde,of,19th century classic
5151,original drawn character sketches,marquettes of,locations
5152,Barton,of,evocative artworks
5153,Women,is in,Gamesthe
5154,important questions,is in,post-Gamergate landscape
5155,we,do encourage,diversity
5156,they,revealing,human stories behind their games
5157,ACMI,by,First Nations curator Kathrine Clarke
5158,ACMI,’s Clarke is,proud Wotjobaluk woman from Wimmera
5159,ACMI ’s First Nations curator Kathrine Clarke,woman from,Wimmera
5160,incredible series,was,into how made
5161,First Nations storytelling,exhibition,language
5162,Peter Jackson,by,WETA Workshop
5163,interviews,is with,cast
5164,Reelside,is Canadian,process
5165,Reelside,has,first season features
5166,her own creative relationship,is with,photographer
5167,Reelside,is produced by,Fifth Ground Entertainment.Reelside
5168,J. R. R. Tolkien,has,Middle earth series
5169,Thailand ==,GDH,559 GMM Tai Hub M Pictures Sahamongkol Film International United International Pictures Walt Disney Studios Motion Pictures 20th Century Fox Sony Pictures Releasing Warner Bros.
5170,Thailand ==,GDH,559 GMM Tai Hub M Pictures Sahamongkol Film International United International Pictures Walt Disney Studios Motion Pictures 20th Century Fox Sony Pictures Warner Bros.
5171,complex dialogue scenes,be played out without,changes in camera position
5172,changes,is in,camera position
5173,complex dialogue scenes,purpose of,composition
5174,its frequent use,is in,western genre
5175,his holstered gun,is in,frame.The French critics
5176,Howard Hawks,allowing,characters
5177,It,became,his trademark style
5178,Following,is index of,specific terminology applicable thereto
5179,fluorescent light Color correction Color gel Color grading Color rendering index Color reversal internegative Color temperature Color timer Continuity Cooke Triplet lens Crafts service Crane Creative geography Cross cutting Cutaway Cut,is in,cut Cutting on action
5180,motion stand,is in,storyboard
5181,many significant developments,is in,cinema
5182,1990s,is in,film
5183,low budget independent films,Continuing from,1980s
5184,their popularity,is in,industry
5185,wide angle scenes,is in,room
5186,home video market,major factor in,total revenue
5187,home video market,often doubling,its total income
5188,major factor,is in,total revenue
5189,advancements,is in,CGI technology
5190,its peak,is in,popularity
5191,Lion King,is in,1994
5192,box office,resurgence of,disaster films
5193,Updating martial arts choreography,is in,American cinema
5194,Updating martial arts choreography,is with,films such Broken Arrow
5195,Bollywood,gained worldwide,popularity
5196,Bollywood,gained,popularity
5197,its release,is in,October 1995
5198,top ten movies,is in,United Kingdom
5199,1990s,is in,music
5200,1990s,films of,1990s
5201,1990s,is in,television
5202,Film,History of,film
5203,classes,is in,cinema theory
5204,growing interest,is in,film
5205,prints,facilitate,growing interest in film
5206,it,was,after struck by two torpedoes launched by German U-boat
5207,Winsor McCay,has,1918 long film
5208,Norman McLaren,has,Neighbours
5209,use,is in,United Kingdom
5210,humankind,of,quest to find
5211,its place,is in,universe
5212,it,climb inside,minds of mentally distressed
5213,it,Commissioned by,Channel 4
5214,real testimony,is with,combined engaging visuals
5215,Aardman Animation,has,1987 film Lip Synch
5216,stories,is in,realistic way
5217,Fierlinger,by,animation
5218,certain topics,is in,their lives
5219,Aardman,such,Creature Comforts
5220,Fierlinger,has,1995 animated feature length autobiography
5221,Jonas Odell,is in,2006 Swedish film Aldrig som första gången
5222,Chris Landreth,is in,his Oscar winning 2004 short film Ryan
5223,people,of,descriptions of first time engaging in sex
5224,documentary,is with,animated elements
5225,animation,depict,past traumas of its protagonists
5226,animation,depict,past traumas
5227,nominated 2008 Israeli film Waltz,is with,Bashir
5228,Docs,Get,Graphic
5229,Animation,Meets,Actuality
5230,animated documentary,is in,March 2005 issue of fps magazine
5231,Hedda Gabler,is,play written by Norwegian playwright Henrik Ibsen
5232,Gabler,broadcast of,National Theatre production
5233,it movement,is in,United States
5234,Its key filmmakers,are,at times referred to as American Eccentrics
5235,context,is in,mid-1960s
5236,genre,has,films
5237,movement,through,attitudes of irony of detachment
5238,themselves,filmmakers of,American Eccentric Cinema
5239,social desires,were,where primarily concerned
5240,ideas,were common within,art
5241,themes,Characteristics,textual practices
5242,common themes,Characteristics,textual practices
5243,individual,around,internal dilemmas
5244,American Eccentric cinema,is,also known
5245,audience,has,expectation of what
5246,protagonist,of,journey finding
5247,Hollywood mainstream films,is with,characteristics such forwardmoving narrative drive
5248,Characters,is in,Eccentric cinema
